Years,Quarters,Average of MORTGAGE30US,Average of MORTGAGE15US,Average of MORTGAGE5US,Average of MORTMRGN5US,Average of MORTPTS15US,Average of MORTPTS30US,Average of MORTPTS5US
2009,Qtr1,5.06,4.709166667,5.154166667,2.725,0.7,0.7,0.633333333
,Qtr2,5.012307692,4.628461538,4.899230769,2.742307692,0.684615385,0.684615385,0.623076923
,Qtr3,5.162307692,4.606153846,4.681538462,2.74,0.669230769,0.684615385,0.6
,Qtr4,4.922142857,4.377142857,4.335714286,2.741428571,0.621428571,0.7,0.585714286
2010,Qtr1,4.995833333,4.3775,4.200833333,2.739166667,0.641666667,0.683333333,0.591666667
,Qtr2,4.922307692,4.3,3.988461538,2.745384615,0.661538462,0.692307692,0.646153846
,Qtr3,4.447142857,3.92,3.64,2.745,0.65,0.707142857,0.635714286
,Qtr4,4.436153846,3.82,3.513076923,2.748461538,0.715384615,0.784615385,0.630769231
2011,Qtr1,4.846923077,4.123846154,3.729230769,2.743846154,0.723076923,0.723076923,0.646153846
,Qtr2,4.650769231,3.844615385,3.447692308,2.740769231,0.7,0.692307692,0.584615385
,Qtr3,4.291538462,3.473076923,3.116923077,2.736153846,0.646153846,0.715384615,0.569230769
,Qtr4,4.002307692,3.295384615,2.95,2.742307692,0.769230769,0.738461538,0.584615385
2012,Qtr1,3.922307692,3.187692308,2.840769231,2.74,0.792307692,0.776923077,0.723076923
,Qtr2,3.794615385,3.042307692,2.823076923,2.74,0.684615385,0.730769231,0.638461538
,Qtr3,3.553846154,2.837692308,2.750769231,2.743076923,0.630769231,0.661538462,0.607692308
,Qtr4,3.359230769,2.67,2.724615385,2.740769231,0.630769231,0.7,0.615384615
2013,Qtr1,3.496923077,2.736923077,2.651538462,2.756923077,0.723076923,0.753846154,0.576923077
,Qtr2,3.672307692,2.84,2.684615385,2.750769231,0.707692308,0.746153846,0.523076923
,Qtr3,4.44,3.480769231,3.186153846,2.746923077,0.707692308,0.730769231,0.561538462
,Qtr4,4.293076923,3.345384615,2.989230769,2.743846154,0.661538462,0.7,0.438461538
2014,Qtr1,4.364615385,3.403076923,3.082307692,2.741538462,0.653846154,0.684615385,0.461538462
,Qtr2,4.227692308,3.313846154,3.02,2.733846154,0.553846154,0.615384615,0.423076923
,Qtr3,4.135384615,3.261538462,2.993076923,2.737692308,0.561538462,0.561538462,0.469230769
,Qtr4,3.963571429,3.174285714,2.984285714,2.740714286,0.521428571,0.514285714,0.5
2015,Qtr1,3.716666667,3.010833333,2.931666667,2.74,0.575,0.616666667,0.458333333
,Qtr2,3.819230769,3.056153846,2.910769231,2.737692308,0.561538462,0.630769231,0.461538462
,Qtr3,3.954615385,3.150769231,2.937692308,2.739230769,0.6,0.607692308,0.453846154
,Qtr4,3.897857143,3.123571429,2.972857143,2.745714286,0.571428571,0.607142857,0.428571429
2016,Qtr1,3.738461538,3.022307692,2.900769231,2.740769231,0.476923077,0.546153846,0.461538462
,Qtr2,3.589230769,2.850769231,2.804615385,2.737692308,0.492307692,0.538461538,0.492307692
,Qtr3,3.446153846,2.75,2.773076923,2.740769231,0.492307692,0.523076923,0.446153846
,Qtr4,3.842307692,3.1,3.029230769,2.74,0.507692308,0.515384615,0.415384615
2017,Qtr1,4.173076923,3.395384615,3.216923077,2.74,0.476923077,0.484615385,0.407692308
,Qtr2,3.98,3.237692308,3.133846154,2.739230769,0.492307692,0.5,0.461538462
,Qtr3,3.883846154,3.166153846,3.176153846,2.74,0.5,0.515384615,0.469230769
,Qtr4,3.922307692,3.290769231,3.268461538,2.743076923,0.492307692,0.492307692,0.376923077
2018,Qtr1,4.282307692,3.74,3.579230769,2.75,0.5,0.523076923,0.392307692
,Qtr2,4.544615385,4.014615385,3.758461538,2.764615385,0.407692308,0.461538462,0.315384615
,Qtr3,4.566923077,4.033846154,3.881538462,2.762307692,0.453846154,0.476923077,0.315384615
,Qtr4,4.784615385,4.212307692,4.072307692,2.767692308,0.438461538,0.476923077,0.3
2019,Qtr1,4.373846154,3.815384615,3.87,2.762307692,0.407692308,0.453846154,0.292307692
,Qtr2,4.010769231,3.464615385,3.627692308,2.753846154,0.446153846,0.507692308,0.392307692
,Qtr3,3.658461538,3.129230769,3.399230769,2.744615385,0.507692308,0.538461538,0.369230769
,Qtr4,3.7,3.157692308,3.394615385,2.75,0.538461538,0.584615385,0.361538462
2020,Qtr1,3.521538462,2.983076923,3.258461538,2.750769231,0.723076923,0.707692308,0.253846154
,Qtr2,3.239230769,2.707692308,3.198461538,2.75,0.7,0.738461538,0.361538462
,Qtr3,2.952307692,2.464615385,2.971538462,2.75,0.746153846,0.792307692,0.292307692
,Qtr4,2.760714286,2.288571429,2.885,2.75,0.607142857,0.7,0.285714286
2021,Qtr1,2.875833333,2.276666667,2.8275,2.75,0.633333333,0.675,0.275
,Qtr2,3.003846154,2.309230769,2.672307692,2.75,0.630769231,0.676923077,0.269230769
,Qtr3,2.872142857,2.171428571,2.459285714,2.75,0.635714286,0.664285714,0.285714286
,Qtr4,3.079230769,2.338461538,2.49,2.75,0.669230769,0.684615385,0.323076923
2022,Qtr1,3.822307692,3.044615385,2.898461538,2.750769231,0.730769231,0.769230769,0.3
,Qtr2,5.266153846,4.450769231,4.030769231,2.75,0.853846154,0.853846154,0.284615385
,Qtr3,5.623076923,4.880769231,4.532307692,2.75,0.830769231,0.8,0.307692308
,Qtr4,6.938333333,6.208333333,5.808333333,2.75,1.133333333,0.833333333,0.266666667